id,animation_name,category,duration_s,filename,folder,recommended_use,status,quality_score,notes
01,Idle Hover,Hover,6,orbit_idle-hover_v01.mp4,06_Animation-Exports/Hover/,Background bed under narration; idle hold between beats,ready,,Regen: Orbit start-frame orbit-seedance-reference-v01.png (Eiffel batch quarantined)
02,Looking Around,Hover,6,orbit_looking-around_v01.mp4,06_Animation-Exports/Hover/,Curiosity beats; surveying a scene before explaining,pending_generation,,REJECTED: Eiffel blueprint wrongly used as start_frame; quarantined in _Rejected/eiffel-startframe-2026-07-27
03,Listening,Hover,6,orbit_listening_v01.mp4,06_Animation-Exports/Hover/,When posing a question to the viewer; pause before an answer,pending_generation,,REJECTED: Eiffel blueprint wrongly used as start_frame; quarantined in _Rejected/eiffel-startframe-2026-07-27
04,Explaining,Talking,8,orbit_explaining_v01.mp4,06_Animation-Exports/Talking/,Primary talking bed under educational narration,ready,8.5,Migrated from polished Seedance explaining bed
05,Point Left,Talking,6,orbit_point-left_v01.mp4,06_Animation-Exports/Talking/,"Callouts to left-side graphics, maps, or B-roll",pending_generation,,Awaiting Seedance generation
06,Point Right,Talking,6,orbit_point-right_v01.mp4,06_Animation-Exports/Talking/,Callouts to right-side graphics or on-screen facts,pending_generation,,Awaiting Seedance generation
07,Counting,Talking,8,orbit_counting_v01.mp4,06_Animation-Exports/Talking/,Numbered lists; three-step explanations,pending_generation,,Awaiting Seedance generation
08,Welcoming,Talking,8,orbit_welcoming_v01.mp4,06_Animation-Exports/Talking/,Channel intros; section openers; subscribe soft-asks,pending_generation,,Awaiting Seedance generation
09,Curious,Reactions,6,orbit_curious_v01.mp4,06_Animation-Exports/Reactions/,Wonder beats; before revealing a big idea,pending_generation,,Awaiting Seedance generation
10,Thinking,Reactions,6,orbit_thinking_v01.mp4,06_Animation-Exports/Reactions/,Rhetorical questions; Fermi-paradox style beats,pending_generation,,REJECTED: Eiffel blueprint wrongly used as start_frame; quarantined in _Rejected/eiffel-startframe-2026-07-27
11,Surprised,Reactions,6,orbit_surprised_v01.mp4,06_Animation-Exports/Reactions/,Reveals; plot twists; sudden discoveries,ready,8.0,Migrated from polished Seedance surprised reaction
12,Happy,Reactions,6,orbit_happy_v01.mp4,06_Animation-Exports/Reactions/,Payoffs; positive conclusions; good news,pending_generation,,Awaiting Seedance generation
13,Excited,Reactions,6,orbit_excited_v01.mp4,06_Animation-Exports/Reactions/,Breakthrough moments; exciting science news,pending_generation,,Awaiting Seedance generation
14,Concerned,Reactions,6,orbit_concerned_v01.mp4,06_Animation-Exports/Reactions/,"Risks, Great Filter, cautionary science beats",pending_generation,,Awaiting Seedance generation
15,Fly In,Movement,8,orbit_fly-in_v01.mp4,06_Animation-Exports/Movement/,Scene openers; returning to Orbit after B-roll,pending_generation,,REJECTED: Eiffel blueprint wrongly used as start_frame; quarantined in _Rejected/eiffel-startframe-2026-07-27
16,Fly Out,Movement,8,orbit_fly-out_v01.mp4,06_Animation-Exports/Movement/,Scene exits; handoff to B-roll,pending_generation,,REJECTED: Eiffel blueprint wrongly used as start_frame; quarantined in _Rejected/eiffel-startframe-2026-07-27
17,Rotate,Movement,8,orbit_rotate_v01.mp4,06_Animation-Exports/Movement/,Character showcases; design appreciation moments,pending_generation,,Awaiting Seedance generation
18,Turn Around,Movement,6,orbit_turn-around_v01.mp4,06_Animation-Exports/Movement/,Redirecting attention; changing topic visually,pending_generation,,Awaiting Seedance generation
19,Enter From Left,Transitions,6,orbit_enter-from-left_v01.mp4,06_Animation-Exports/Transitions/,Left-to-right section transitions,pending_generation,,Awaiting Seedance generation
20,Enter From Right,Transitions,6,orbit_enter-from-right_v01.mp4,06_Animation-Exports/Transitions/,Right-to-left section transitions,pending_generation,,Awaiting Seedance generation
21,Enter From Bottom,Transitions,6,orbit_enter-from-bottom_v01.mp4,06_Animation-Exports/Transitions/,Rising energy; new chapter starts,pending_generation,,Awaiting Seedance generation
22,Exit Upwards,Transitions,6,orbit_exit-upwards_v01.mp4,06_Animation-Exports/Transitions/,Ascending exits; skyward topic shifts,pending_generation,,Awaiting Seedance generation
23,Slow Drift Across Screen,Transitions,8,orbit_slow-drift_v01.mp4,06_Animation-Exports/Transitions/,Long narration beds; contemplative passages,pending_generation,,Awaiting Seedance generation
24,Goodbye Wave,Ending,8,orbit_goodbye_v01.mp4,06_Animation-Exports/Ending/,Outros; end cards; subscribe soft close,ready,8.0,Migrated from polished Seedance ending goodbye wave
25,Looking At Earth,Ending,8,orbit_looking-at-earth_v01.mp4,06_Animation-Exports/Ending/,Reflective outros; Earth-context conclusions,pending_generation,,Awaiting Seedance generation
26,Looking At The Stars,Ending,8,orbit_looking-at-stars_v01.mp4,06_Animation-Exports/Ending/,Cosmic wonder outros; series enders,pending_generation,,Awaiting Seedance generation
27,Final Fly Away,Ending,10,orbit_final-fly-away_v01.mp4,06_Animation-Exports/Ending/,Series finales; emotional end titles,pending_generation,,REJECTED: Eiffel blueprint wrongly used as start_frame; quarantined in _Rejected/eiffel-startframe-2026-07-27
