seq,scene_id,section,est_duration_sec,type,visual,orbit_marker,preferred_asset,prompt_file,status,notes
1,aliens_scene-001,hook,6,broll,Night sky wide — dense Milky Way,,04_Generated-Clips/03_Polished/broll/aliens_scene-001_v01.mp4,aliens_scene-001_night-sky.txt,ready,No Orbit; EL Seedance 1.5 Pro text-only (no start frame)
2,aliens_scene-002,hook,5,broll,Slow push into starfield,,04_Generated-Clips/03_Polished/broll/aliens_scene-002_v01.mp4,aliens_scene-002_starfield-push.txt,ready,; EL Seedance 1.5 Pro text-only (no start frame)
3,aliens_scene-003,hook,4,title,Title card: Will We Ever Meet Aliens?,,,,edit_only,CapCut titles
4,aliens_scene-004,intro,8,orbit,Orbit intro wave,intro_wave,MISSING orbit_intro_wave,orbit-introduction-prompt.txt,needs_generation,Ask before Seedance spend
5,aliens_scene-005,intro,6,orbit,Orbit explaining bed under channel intro,explaining,orbit_explaining_talk_v01_polished.mp4,,ready,
6,aliens_scene-006,intro,5,broll,Galaxy rotate subtle,,04_Generated-Clips/03_Polished/broll/aliens_scene-006_v01.mp4,aliens_scene-006_galaxy-rotate.txt,ready,; EL Seedance 1.5 Pro text-only (no start frame)
7,aliens_scene-007,intro,5,orbit,Orbit continue explaining,explaining,orbit_explaining_talk_v01_polished.mp4,,ready,Loop/trim
8,aliens_scene-008,intro,4,broll,Earth from space night side,,04_Generated-Clips/03_Polished/broll/aliens_scene-008_v01.mp4,aliens_scene-008_earth-night.txt,ready,; EL Seedance 1.5 Pro text-only (no start frame)
9,aliens_scene-009,scale,6,orbit,Orbit explaining distances,explaining,orbit_explaining_talk_v01_polished.mp4,,ready,
10,aliens_scene-010,scale,5,graphic,Alpha Centauri distance graphic,,,,edit_only,
11,aliens_scene-011,scale,6,broll,Spacecraft tiny against stars,,04_Generated-Clips/03_Polished/broll/aliens_scene-011_v01.mp4,aliens_scene-011_tiny-probe.txt,ready,EL Seedance 1.5 Pro text-only (no start frame)
12,aliens_scene-012,scale,5,broll,Milky Way top-down stylised,,04_Generated-Clips/03_Polished/broll/aliens_scene-012_v01.mp4,aliens_scene-012_milkyway-top.txt,ready,EL Seedance 1.5 Pro text-only (no start frame)
13,aliens_scene-013,scale,5,broll,Exoplanet transit silhouette,,04_Generated-Clips/03_Polished/broll/aliens_scene-013_v01.mp4,aliens_scene-013_transit.txt,ready,EL Seedance 1.5 Pro text-only (no start frame)
14,aliens_scene-014,scale,5,graphic,Habitable zone diagram,,,,edit_only,
